Zscore,set,EnsemblID,gr,log2Scores
1.531,NS,ENSG00000011260,"(0,10]",3.5716354151455607
1.328,NS,ENSG00000053501,"(0,10]",3.5716354151455607
1.477,NS,ENSG00000067221,"(0,10]",3.5716354151455607
2.666,NS,ENSG00000078902,"(0,10]",3.5716354151455607
2.051,NS,ENSG00000083750,"(0,10]",3.5716354151455607
1.99,NS,ENSG00000083812,"(0,10]",3.5716354151455607
3.013,NS,ENSG00000084774,"(0,10]",3.5716354151455607
1.535,NS,ENSG00000089723,"(0,10]",3.5716354151455607
1.566,NS,ENSG00000092964,"(0,10]",3.5716354151455607
2.909,NS,ENSG00000095587,"(0,10]",3.5716354151455607
1.574,NS,ENSG00000100056,"(0,10]",3.5716354151455607
1.513,NS,ENSG00000100100,"(0,10]",3.5716354151455607
2.346,NS,ENSG00000100417,"(0,10]",3.5716354151455607
1.103,NS,ENSG00000100479,"(0,10]",3.5716354151455607
1.077,NS,ENSG00000100883,"(0,10]",3.5716354151455607
-2.992,NS,ENSG00000101082,"(-3,0]",6.7308340099948145
1.497,NS,ENSG00000101146,"(0,10]",3.5716354151455607
1.068,NS,ENSG00000102796,"(0,10]",3.5716354151455607
1.319,NS,ENSG00000102900,"(0,10]",3.5716354151455607
-2.108,NS,ENSG00000103544,"(-3,0]",6.7308340099948145
1.986,NS,ENSG00000104835,"(0,10]",3.5716354151455607
1.608,NS,ENSG00000104946,"(0,10]",3.5716354151455607
2.217,NS,ENSG00000104980,"(0,10]",3.5716354151455607
1.248,NS,ENSG00000105341,"(0,10]",3.5716354151455607
1.173,NS,ENSG00000105559,"(0,10]",3.5716354151455607
0.969,NS,ENSG00000108883,"(0,10]",3.5716354151455607
1.429,PS,ENSG00000110944,"(0,10]",3.5716354151455607
0.946,NS,ENSG00000111644,"(0,10]",3.5716354151455607
2.091,NS,ENSG00000111665,"(0,10]",3.5716354151455607
1.138,NS,ENSG00000113384,"(0,10]",3.5716354151455607
2.492,NS,ENSG00000114120,"(0,10]",3.5716354151455607
1.495,NS,ENSG00000115267,"(0,10]",3.5716354151455607
1.969,NS,ENSG00000115274,"(0,10]",3.5716354151455607
9.036,NS,ENSG00000117862,"(0,10]",3.5716354151455607
1.4,NS,ENSG00000119227,"(0,10]",3.5716354151455607
1.085,NS,ENSG00000120217,"(0,10]",3.5716354151455607
1.574,PS,ENSG00000121966,"(0,10]",3.5716354151455607
1.354,NS,ENSG00000123165,"(0,10]",3.5716354151455607
2.4075,NS,ENSG00000125485,"(0,10]",3.5716354151455607
1.167,NS,ENSG00000126882,"(0,10]",3.5716354151455607
1.281,NS,ENSG00000127152,"(0,10]",3.5716354151455607
1.884,NS,ENSG00000127184,"(0,10]",3.5716354151455607
1.7345,NS,ENSG00000127399,"(0,10]",3.5716354151455607
1.8305,NS,ENSG00000127481,"(0,10]",3.5716354151455607
0.923,NS,ENSG00000128185,"(0,10]",3.5716354151455607
1.452,NS,ENSG00000129467,"(0,10]",3.5716354151455607
1.615,NS,ENSG00000130741,"(0,10]",3.5716354151455607
1.111,NS,ENSG00000131845,"(0,10]",3.5716354151455607
1.709,NS,ENSG00000134001,"(0,10]",3.5716354151455607
2.125,NS,ENSG00000134183,"(0,10]",3.5716354151455607
2.037,NS,ENSG00000135482,"(0,10]",3.5716354151455607
1.226,NS,ENSG00000136100,"(0,10]",3.5716354151455607
1.301,NS,ENSG00000136280,"(0,10]",3.5716354151455607
0.946,NS,ENSG00000137507,"(0,10]",3.5716354151455607
2.772,NS,ENSG00000137876,"(0,10]",3.5716354151455607
1.127,NS,ENSG00000138835,"(0,10]",3.5716354151455607
2.6945,NS,ENSG00000140395,"(0,10]",3.5716354151455607
-2.351,PS,ENSG00000140853,"(-3,0]",6.7308340099948145
1.428,NS,ENSG00000142634,"(0,10]",3.5716354151455607
1.815,NS,ENSG00000143409,"(0,10]",3.5716354151455607
1.194,NS,ENSG00000143457,"(0,10]",3.5716354151455607
1.159,NS,ENSG00000143756,"(0,10]",3.5716354151455607
2.086,NS,ENSG00000145780,"(0,10]",3.5716354151455607
2.003,NS,ENSG00000145916,"(0,10]",3.5716354151455607
1.8095,NS,ENSG00000146410,"(0,10]",3.5716354151455607
1.921,NS,ENSG00000146535,"(0,10]",3.5716354151455607
1.625,NS,ENSG00000147124,"(0,10]",3.5716354151455607
1.123,NS,ENSG00000147140,"(0,10]",3.5716354151455607
1.016,NS,ENSG00000148143,"(0,10]",3.5716354151455607
1.125,PS,ENSG00000148334,"(0,10]",3.5716354151455607
3.016,NS,ENSG00000153904,"(0,10]",3.5716354151455607
0.989,NS,ENSG00000155744,"(0,10]",3.5716354151455607
1.951,NS,ENSG00000156042,"(0,10]",3.5716354151455607
2.684,NS,ENSG00000157087,"(0,10]",3.5716354151455607
2.116,NS,ENSG00000158062,"(0,10]",3.5716354151455607
1.476,NS,ENSG00000160111,"(0,10]",3.5716354151455607
1.037,NS,ENSG00000160679,"(0,10]",3.5716354151455607
2.624,NS,ENSG00000160803,"(0,10]",3.5716354151455607
2.28,NS,ENSG00000160818,"(0,10]",3.5716354151455607
1.337,NS,ENSG00000160948,"(0,10]",3.5716354151455607
3.0515,NS,ENSG00000162062,"(0,10]",3.5716354151455607
1.145,NS,ENSG00000162817,"(0,10]",3.5716354151455607
1.299,NS,ENSG00000163933,"(0,10]",3.5716354151455607
1.865,NS,ENSG00000164405,"(0,10]",3.5716354151455607
1.498,NS,ENSG00000164889,"(0,10]",3.5716354151455607
1.426,NS,ENSG00000165271,"(0,10]",3.5716354151455607
1.037,NS,ENSG00000165684,"(0,10]",3.5716354151455607
1.412,NS,ENSG00000166348,"(0,10]",3.5716354151455607
1.63,PS,ENSG00000167705,"(0,10]",3.5716354151455607
3.195,NS,ENSG00000167972,"(0,10]",3.5716354151455607
1.907,NS,ENSG00000168135,"(0,10]",3.5716354151455607
1.145,NS,ENSG00000168329,"(0,10]",3.5716354151455607
2.924,NS,ENSG00000168411,"(0,10]",3.5716354151455607
1.671,NS,ENSG00000169718,"(0,10]",3.5716354151455607
2.678,NS,ENSG00000169740,"(0,10]",3.5716354151455607
1.436,NS,ENSG00000169777,"(0,10]",3.5716354151455607
1.428,NS,ENSG00000172728,"(0,10]",3.5716354151455607
3.588,NS,ENSG00000173456,"(0,10]",3.5716354151455607
2.383,NS,ENSG00000175575,"(0,10]",3.5716354151455607
1.783,NS,ENSG00000177427,"(0,10]",3.5716354151455607
1.344,NS,ENSG00000177494,"(0,10]",3.5716354151455607
1.157,NS,ENSG00000178718,"(0,10]",3.5716354151455607
1.102,NS,ENSG00000178935,"(0,10]",3.5716354151455607
1.818,NS,ENSG00000179403,"(0,10]",3.5716354151455607
1.406,NS,ENSG00000179604,"(0,10]",3.5716354151455607
1.986,NS,ENSG00000179674,"(0,10]",3.5716354151455607
1.527,NS,ENSG00000182158,"(0,10]",3.5716354151455607
1.073,NS,ENSG00000182759,"(0,10]",3.5716354151455607
-1.897,NS,ENSG00000183150,"(-3,0]",6.7308340099948145
2.285,NS,ENSG00000186318,"(0,10]",3.5716354151455607
1.153,NS,ENSG00000187801,"(0,10]",3.5716354151455607
1.795,NS,ENSG00000187912,"(0,10]",3.5716354151455607
1.218,NS,ENSG00000196313,"(0,10]",3.5716354151455607
1.135,NS,ENSG00000196449,"(0,10]",3.5716354151455607
1.834,NS,ENSG00000196456,"(0,10]",3.5716354151455607
1.298,NS,ENSG00000196531,"(0,10]",3.5716354151455607
1.845,PS,ENSG00000196961,"(0,10]",3.5716354151455607
2.653,NS,ENSG00000198363,"(0,10]",3.5716354151455607
1.028,NS,ENSG00000198429,"(0,10]",3.5716354151455607
2.591,NS,ENSG00000198723,"(0,10]",3.5716354151455607
1.969,NS,ENSG00000198829,"(0,10]",3.5716354151455607
0.96,NS,ENSG00000204120,"(0,10]",3.5716354151455607
1.013,NS,ENSG00000213516,"(0,10]",3.5716354151455607
1.036,NS,ENSG00000214063,"(0,10]",3.5716354151455607
1.424,NS,ENSG00000215193,"(0,10]",3.5716354151455607
2.44,NS,ENSG00000215644,"(0,10]",3.5716354151455607
2.225,NS,ENSG00000221886,"(0,10]",3.5716354151455607
1.937,NS,ENSG00000241563,"(0,10]",3.5716354151455607
1.081,NS,ENSG00000250479,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000273526,"(0,10]",3.5716354151455607
1.081,NS,ENSG00000273607,"(0,10]",3.5716354151455607
1.63,NS,ENSG00000274145,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000274406,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000274947,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000274957,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000275353,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000275731,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000276154,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000276395,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000276634,"(0,10]",3.5716354151455607
1.273,NS,ENSG00000276885,"(0,10]",3.5716354151455607
1.535,NS,ENSG00000277276,"(0,10]",3.5716354151455607
1.986,NS,ENSG00000283104,"(0,10]",3.5716354151455607
